,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9623077,0,-0.006071224,2.097725,400,1,4280.591,3.33E-06,1987.551,99000,99000,118.8696,99000,3,10000,0,0,1,1.570795718,2,0,0,0,3,0.08012359,-0.9663764,1.126624,3.8,0,0,118.687,0,0.000105473,130,69.92324,1.85E-06,-0.002433235,-0.07133234
2,0.9623077,0,-0.006071224,2.097725,400,1,4280.591,3.33E-06,1987.551,99000,99000,118.8696,99000,3,10000,0,0,1,1.570795718,2,0,0,0,3,0.08012359,-0.9663764,1.126624,3.8,0,0,118.687,0,0.000105473,130,69.92324,1.85E-06,-0.002433235,-0.07133234
3,0.9623077,0,-0.006071224,2.097725,400,1,4280.591,0.004584057,1987.551,99000,99000,118.8696,99000,3,10000,0,0,1,1.570795718,2,0,0,0,3,0.08012359,-0.9663764,1.126624,3.8,0,0,118.687,0,0.000105473,130,69.92324,1.85E-06,-0.002433235,-0.07133234
4,0.9623077,0,-0.006071224,2.097725,400,1,99000,0.004584057,254.4459,99000,250.1469,99000,99000,6,10000,0,0,1,1.570795718,2,0,0,0,5,0.02873406,-0.8678105,0.9252787,3.500089,0,0,90.07784,0,0.000105473,70,0,1.85E-06,-0.002433235,-0.07133234
5,0.9623077,0,-0.006071224,2.097725,400,1,99000,0.007158781,254.4459,99000,250.1469,99000,99000,6,10000,0,0,1,1.570795718,2,0,0,0,5,0.02873406,-0.8678105,0.9252787,3.500089,0,0,90.07784,0,0.000105473,70,0,1.85E-06,-0.002433235,-0.07133234
6,-0.0355253,0,0.002689746,0.3847083,400,1,99000,0.007448325,254.4459,99000,250.1469,99000,99000,6,10000,0,0,1,1.570796793,2,0,0,0,5,0.02873406,-0.8678105,0.9252787,3.500089,0,0,90.07784,0,0.0186956,70,0,2.24E-05,-0.03654076,-0.07075708
7,-0.07074742,0,0.002582346,0.3518325,400,1,99000,0.007856817,254.4459,99000,250.1469,99000,99000,6,10000,0,0,1,1.570797119,2,0,0,0,5,0.02873406,-0.8678105,0.9252787,3.500089,0,0,90.07784,0,0.01836631,70,0,3.90E-05,-0.03433771,-0.07056532
8,-0.1466258,0,0.002121376,0.2524817,400,1,99000,0.008118049,254.4459,99000,250.1469,99000,99000,6,10000,0,0,1,1.570797882,2,0,0,0,5,0.02873406,-0.8678105,0.9252787,3.500089,0,0,90.07784,0,0.01656627,70,0,7.66E-05,-0.02951571,-0.07037357
9,-0.1731801,0,0.001854908,0.2029657,400,1,99000,0.008479462,254.4459,99000,250.1469,99000,99000,6,10000,0,0,1,1.570798198,2,0,0,0,5,0.02873406,-0.8678105,0.9252787,3.500089,0,0,90.07784,0,0.01527562,70,0,9.24E-05,-0.02770779,-0.07037357
